CensusTract,Cluster
1001020100,1
1001020200,3
1001020300,3
1001020400,0
1001020500,0
1001020600,6
1001020700,4
1001020801,1
1001020802,6
1001020900,6
1001021000,6
1001021100,6
1003010100,6
1003010200,6
1003010300,6
1003010400,6
1003010500,3
1003010600,4
1003010701,3
1003010703,2
1003010704,6
1003010705,3
1003010800,3
1003010903,6
1003010904,6
1003010905,3
1003010906,3
1003011000,6
1003011101,3
1003011102,6
1003011201,5
1003011202,3
1003011300,1
1003011401,6
1003011403,6
1003011405,1
1003011406,3
1003011407,3
1003011408,1
1003011501,6
1003011502,4
1003011601,6
1003011602,6
1005950100,6
1005950200,6
1005950300,6
1005950400,6
1005950500,6
1005950600,4
1005950700,5
1005950800,5
1005950900,5
1007010001,6
1007010002,6
1007010003,1
1007010004,4
1009050101,6
1009050102,3
1009050200,6
1009050300,6
1009050400,6
1009050500,6
1009050601,6
1009050602,6
1009050700,6
1011952100,6
1011952200,4
1011952500,6
1013952700,3
1013952800,3
1013952900,4
1013953000,6
1013953100,4
1013953200,6
1013953300,1
1013953400,4
1013953500,6
1015000200,5
1015000300,5
1015000400,4
1015000500,4
1015000600,4
1015000700,5
1015000800,3
1015000900,6
1015001000,0
1015001100,3
1015001201,5
1015001202,6
1015001300,5
1015001400,6
1015001500,4
1015001600,4
1015001700,4
1015001800,6
1015002000,6
1015002101,6
1015002102,3
1015002103,5
1015002200,3
1015002300,4
1015002400,6
1015002501,3
1015002502,6
1015002600,6
1015981901,1
1015981902,1
1017953800,6
1017953900,3
1017954000,4
1017954200,6
1017954300,6
1017954400,3
1017954500,5
1017954600,3
1017954700,6
1019955701,4
1019955702,6
1019955800,6
1019955900,6
1019956000,6
1019956100,6
1021060101,3
1021060102,4
1021060200,6
1021060300,6
1021060401,6
1021060402,6
1021060500,6
1021060600,6
1021060700,6
1023956700,6
1023956800,4
1023956900,6
1023957000,6
1025957500,6
1025957601,6
1025957602,3
1025957700,6
1025957800,6
1025957901,4
1025957902,4
1025958001,6
1025958002,6
1027958900,3
1027959000,4
1027959100,6
1027959200,6
1029959500,6
1029959600,4
1029959700,6
1029959800,6
1031010100,6
1031010200,1
1031010300,6
1031010400,6
1031010500,4
1031010600,6
1031010700,6
1031010800,1
1031010900,5
1031011000,3
1031011100,3
1031011201,3
1031011202,3
1031011300,5
1033020100,4
1033020200,4
1033020300,5
1033020400,1
1033020500,3
1033020600,5
1033020701,1
1033020703,6
1033020704,5
1033020801,6
1033020802,6
1033020901,6
1033020902,6
1033021000,6
1035960200,6
1035960300,6
1035960400,6
1035960500,4
1035960600,4
1037961000,4
1037961100,6
1037961200,6
1039961600,6
1039961700,6
1039961800,3
1039961900,6
1039962000,5
1039962100,5
1039962300,6
1039962400,3
1039962500,0
1039962600,5
1039962700,4
1039962800,6
1039962900,1
1039963000,3
1041963400,6
1041963500,6
1041963600,6
1041963700,3
1041963800,6
1041963900,3
1043964100,6
1043964200,6
1043964300,6
1043964400,6
1043964500,6
1043964600,6
1043964700,6
1043964800,5
1043964900,3
1043965000,5
1043965100,6
1043965200,6
1043965300,6
1043965401,4
1043965402,6
1043965500,6
1043965600,6
1043965700,6
1045020000,6
1045020100,6
1045020200,1
1045020300,6
1045020400,1
1045020500,5
1045020700,5
1045020801,6
1045020802,3
1045021101,6
1045021102,4
1045021200,6
1045021300,6
1045021400,4
1047956100,6
1047956201,6
1047956202,1
1047956300,5
1047956400,5
1047956500,5
1047956600,4
1047956701,0
1047956702,5
1047956800,5
1047956900,6
1047957000,6
1047957100,6
1047957200,6
1047957300,6
1049960100,6
1049960200,6
1049960300,4
1049960400,6
1049960500,6
1049960600,6
1049960700,4
1049960800,4
1049960900,4
1049961000,6
1049961100,3
1049961200,1
1049961300,4
1049961400,6
1051030100,6
1051030200,6
1051030300,1
