,CensusTract,Color
0,1001020100,#73c916
1,1001020200,#c4c127
2,1001020300,#c4c127
3,1001020400,#8dc427
4,1001020500,#8dc427
5,1001020600,#c49027
6,1001020700,#bd2f42
7,1001020801,#73c916
8,1001020802,#c49027
9,1001020900,#c49027
10,1001021000,#c49027
11,1001021100,#c49027
12,1003010100,#c49027
13,1003010200,#c49027
14,1003010300,#c49027
15,1003010400,#c49027
16,1003010500,#c4c127
17,1003010600,#bd2f42
18,1003010701,#c4c127
19,1003010703,#38ad15
20,1003010704,#c49027
21,1003010705,#c4c127
22,1003010800,#c4c127
23,1003010903,#c49027
24,1003010904,#c49027
25,1003010905,#c4c127
26,1003010906,#c4c127
27,1003011000,#c49027
28,1003011101,#c4c127
29,1003011102,#c49027
30,1003011201,#c44927
31,1003011202,#c4c127
32,1003011300,#73c916
33,1003011401,#c49027
34,1003011403,#c49027
35,1003011405,#73c916
36,1003011406,#c4c127
37,1003011407,#c4c127
38,1003011408,#73c916
39,1003011501,#c49027
40,1003011502,#bd2f42
41,1003011601,#c49027
42,1003011602,#c49027
43,1005950100,#c49027
44,1005950200,#c49027
45,1005950300,#c49027
46,1005950400,#c49027
47,1005950500,#c49027
48,1005950600,#bd2f42
49,1005950700,#c44927
50,1005950800,#c44927
51,1005950900,#c44927
52,1007010001,#c49027
53,1007010002,#c49027
54,1007010003,#73c916
55,1007010004,#bd2f42
56,1009050101,#c49027
57,1009050102,#c4c127
58,1009050200,#c49027
59,1009050300,#c49027
60,1009050400,#c49027
61,1009050500,#c49027
62,1009050601,#c49027
63,1009050602,#c49027
64,1009050700,#c49027
65,1011952100,#c49027
66,1011952200,#bd2f42
67,1011952500,#c49027
68,1013952700,#c4c127
69,1013952800,#c4c127
70,1013952900,#bd2f42
71,1013953000,#c49027
72,1013953100,#bd2f42
73,1013953200,#c49027
74,1013953300,#73c916
75,1013953400,#bd2f42
76,1013953500,#c49027
77,1015000200,#c44927
78,1015000300,#c44927
79,1015000400,#bd2f42
80,1015000500,#bd2f42
81,1015000600,#bd2f42
82,1015000700,#c44927
83,1015000800,#c4c127
84,1015000900,#c49027
85,1015001000,#8dc427
86,1015001100,#c4c127
87,1015001201,#c44927
88,1015001202,#c49027
89,1015001300,#c44927
90,1015001400,#c49027
91,1015001500,#bd2f42
92,1015001600,#bd2f42
93,1015001700,#bd2f42
94,1015001800,#c49027
95,1015002000,#c49027
96,1015002101,#c49027
97,1015002102,#c4c127
98,1015002103,#c44927
99,1015002200,#c4c127
100,1015002300,#bd2f42
101,1015002400,#c49027
102,1015002501,#c4c127
103,1015002502,#c49027
104,1015002600,#c49027
105,1015981901,#73c916
106,1015981902,#73c916
107,1017953800,#c49027
108,1017953900,#c4c127
109,1017954000,#bd2f42
110,1017954200,#c49027
111,1017954300,#c49027
112,1017954400,#c4c127
113,1017954500,#c44927
114,1017954600,#c4c127
115,1017954700,#c49027
116,1019955701,#bd2f42
117,1019955702,#c49027
118,1019955800,#c49027
119,1019955900,#c49027
120,1019956000,#c49027
121,1019956100,#c49027
122,1021060101,#c4c127
123,1021060102,#bd2f42
124,1021060200,#c49027
125,1021060300,#c49027
126,1021060401,#c49027
127,1021060402,#c49027
128,1021060500,#c49027
129,1021060600,#c49027
130,1021060700,#c49027
131,1023956700,#c49027
132,1023956800,#bd2f42
133,1023956900,#c49027
134,1023957000,#c49027
135,1025957500,#c49027
136,1025957601,#c49027
137,1025957602,#c4c127
138,1025957700,#c49027
139,1025957800,#c49027
140,1025957901,#bd2f42
141,1025957902,#bd2f42
142,1025958001,#c49027
143,1025958002,#c49027
144,1027958900,#c4c127
145,1027959000,#bd2f42
146,1027959100,#c49027
147,1027959200,#c49027
148,1029959500,#c49027
149,1029959600,#bd2f42
150,1029959700,#c49027
151,1029959800,#c49027
152,1031010100,#c49027
153,1031010200,#73c916
154,1031010300,#c49027
155,1031010400,#c49027
156,1031010500,#bd2f42
157,1031010600,#c49027
158,1031010700,#c49027
159,1031010800,#73c916
160,1031010900,#c44927
161,1031011000,#c4c127
162,1031011100,#c4c127
163,1031011201,#c4c127
164,1031011202,#c4c127
165,1031011300,#c44927
166,1033020100,#bd2f42
167,1033020200,#bd2f42
168,1033020300,#c44927
169,1033020400,#73c916
170,1033020500,#c4c127
171,1033020600,#c44927
172,1033020701,#73c916
173,1033020703,#c49027
174,1033020704,#c44927
175,1033020801,#c49027
176,1033020802,#c49027
177,1033020901,#c49027
178,1033020902,#c49027
179,1033021000,#c49027
180,1035960200,#c49027
181,1035960300,#c49027
182,1035960400,#c49027
183,1035960500,#bd2f42
184,1035960600,#bd2f42
185,1037961000,#bd2f42
186,1037961100,#c49027
187,1037961200,#c49027
188,1039961600,#c49027
189,1039961700,#c49027
190,1039961800,#c4c127
191,1039961900,#c49027
192,1039962000,#c44927
193,1039962100,#c44927
194,1039962300,#c49027
195,1039962400,#c4c127
196,1039962500,#8dc427
197,1039962600,#c44927
198,1039962700,#bd2f42
199,1039962800,#c49027
200,1039962900,#73c916
201,1039963000,#c4c127
202,1041963400,#c49027
203,1041963500,#c49027
204,1041963600,#c49027
205,1041963700,#c4c127
206,1041963800,#c49027
207,1041963900,#c4c127
208,1043964100,#c49027
209,1043964200,#c49027
210,1043964300,#c49027
