CensusTract,Cluster
1001020100,1
1001020200,1
1001020300,1
1001020400,2
1001020500,1
1001020600,1
1001020700,0
1001020801,1
1001020802,1
1001020900,1
1001021000,1
1001021100,1
1003010100,1
1003010200,1
1003010300,1
1003010400,1
1003010500,1
1003010600,0
1003010701,1
1003010703,1
1003010704,1
1003010705,1
1003010800,1
1003010903,1
1003010904,1
1003010905,1
1003010906,1
1003011000,1
1003011101,1
1003011102,1
1003011201,0
1003011202,1
1003011300,1
1003011401,1
1003011403,1
1003011405,1
1003011406,1
1003011407,1
1003011408,1
1003011501,1
1003011502,0
1003011601,1
1003011602,1
1005950100,1
1005950200,1
1005950300,1
1005950400,1
1005950500,1
1005950600,1
1005950700,1
1005950800,0
1005950900,0
1007010001,1
1007010002,1
1007010003,1
1007010004,1
1009050101,1
1009050102,1
1009050200,1
1009050300,1
1009050400,1
1009050500,1
1009050601,1
1009050602,1
1009050700,1
1011952100,1
1011952200,0
1011952500,1
1013952700,1
1013952800,2
1013952900,1
1013953000,1
1013953100,0
1013953200,1
1013953300,1
1013953400,1
1013953500,1
1015000200,0
1015000300,0
1015000400,0
1015000500,1
1015000600,0
1015000700,0
1015000800,1
1015000900,1
1015001000,0
1015001100,1
1015001201,0
1015001202,1
1015001300,0
1015001400,1
1015001500,0
1015001600,0
1015001700,1
1015001800,1
1015002000,1
1015002101,1
1015002102,1
1015002103,0
1015002200,1
1015002300,1
1015002400,1
1015002501,1
1015002502,1
1015002600,1
1015981901,1
1015981902,1
1017953800,1
1017953900,1
1017954000,1
1017954200,1
1017954300,1
1017954400,1
1017954500,0
1017954600,1
1017954700,1
1019955701,1
1019955702,1
1019955800,1
1019955900,1
1019956000,1
1019956100,1
1021060101,1
1021060102,0
1021060200,1
1021060300,1
1021060401,1
1021060402,1
1021060500,1
1021060600,1
1021060700,1
1023956700,1
1023956800,1
1023956900,1
1023957000,1
1025957500,1
1025957601,1
1025957602,1
1025957700,1
1025957800,1
1025957901,1
1025957902,0
1025958001,1
1025958002,1
1027958900,1
1027959000,1
1027959100,1
1027959200,1
1029959500,1
1029959600,1
1029959700,1
1029959800,1
1031010100,1
1031010200,1
1031010300,1
1031010400,1
1031010500,1
1031010600,1
1031010700,1
1031010800,1
1031010900,1
1031011000,1
1031011100,1
1031011201,1
1031011202,1
1031011300,0
1033020100,1
1033020200,1
1033020300,0
1033020400,2
1033020500,1
1033020600,0
1033020701,1
1033020703,1
1033020704,0
1033020801,1
1033020802,1
1033020901,1
1033020902,1
1033021000,1
1035960200,1
1035960300,1
1035960400,1
1035960500,1
1035960600,1
1037961000,1
1037961100,1
1037961200,1
1039961600,1
1039961700,1
1039961800,1
1039961900,1
1039962000,1
1039962100,0
1039962300,1
1039962400,1
1039962500,2
1039962600,0
1039962700,0
1039962800,1
1039962900,1
1039963000,1
1041963400,1
1041963500,1
1041963600,1
1041963700,1
1041963800,1
1041963900,1
1043964100,1
1043964200,1
1043964300,1
1043964400,1
