CensusTract,Cluster
1001020100,0
1001020200,0
1001020300,5
1001020400,0
1001020500,0
1001020600,0
1001020700,5
1001020801,4
1001020802,4
1001020900,4
1001021000,4
1001021100,4
1003010100,4
1003010200,4
1003010300,4
1003010400,4
1003010500,0
1003010600,5
1003010701,0
1003010703,0
1003010704,1
1003010705,0
1003010800,0
1003010903,0
1003010904,4
1003010905,0
1003010906,0
1003011000,4
1003011101,0
1003011102,4
1003011201,6
1003011202,0
1003011300,4
1003011401,4
1003011403,0
1003011405,1
1003011406,5
1003011407,5
1003011408,4
1003011501,4
1003011502,5
1003011601,4
1003011602,4
1005950100,4
1005950200,5
1005950300,4
1005950400,4
1005950500,4
1005950600,5
1005950700,5
1005950800,0
1005950900,5
1007010001,4
1007010002,4
1007010003,4
1007010004,5
1009050101,0
1009050102,5
1009050200,4
1009050300,5
1009050400,4
1009050500,5
1009050601,4
1009050602,4
1009050700,4
1011952100,4
1011952200,5
1011952500,4
1013952700,5
1013952800,6
1013952900,5
1013953000,4
1013953100,5
1013953200,5
1013953300,4
1013953400,5
1013953500,4
1015000200,3
1015000300,3
1015000400,5
1015000500,3
1015000600,5
1015000700,5
1015000800,5
1015000900,0
1015001000,0
1015001100,5
1015001201,5
1015001202,0
1015001300,5
1015001400,4
1015001500,0
1015001600,5
1015001700,0
1015001800,5
1015002000,0
1015002101,5
1015002102,0
1015002103,5
1015002200,5
1015002300,5
1015002400,4
1015002501,0
1015002502,4
1015002600,4
1015981901,1
1015981902,1
1017953800,4
1017953900,5
1017954000,5
1017954200,4
1017954300,5
1017954400,5
1017954500,5
1017954600,0
1017954700,5
1019955701,5
1019955702,4
1019955800,4
1019955900,4
1019956000,4
1019956100,4
1021060101,5
1021060102,5
1021060200,4
1021060300,4
1021060401,4
1021060402,5
1021060500,0
1021060600,4
1021060700,4
1023956700,4
1023956800,5
1023956900,4
1023957000,4
1025957500,4
1025957601,4
1025957602,0
1025957700,5
1025957800,5
1025957901,5
1025957902,5
1025958001,4
1025958002,4
1027958900,0
1027959000,5
1027959100,4
1027959200,4
1029959500,4
1029959600,5
1029959700,4
1029959800,4
1031010100,4
1031010200,4
1031010300,4
1031010400,4
1031010500,5
1031010600,4
1031010700,4
1031010800,4
1031010900,5
1031011000,5
1031011100,6
1031011201,0
1031011202,0
1031011300,5
1033020100,5
1033020200,5
1033020300,3
1033020400,1
1033020500,5
1033020600,5
1033020701,4
1033020703,0
1033020704,6
1033020801,4
1033020802,4
1033020901,4
1033020902,4
1033021000,5
1035960200,4
1035960300,4
1035960400,4
1035960500,5
1035960600,5
1037961000,4
1037961100,4
1037961200,4
1039961600,4
1039961700,4
1039961800,0
1039961900,0
1039962000,5
1039962100,5
1039962300,4
1039962400,0
1039962500,0
1039962600,5
1039962700,5
1039962800,4
1039962900,4
1039963000,5
1041963400,4
1041963500,4
1041963600,0
1041963700,5
1041963800,4
1041963900,4
1043964100,4
1043964200,5
1043964300,4
1043964400,4
1043964500,4
1043964600,4
1043964700,4
1043964800,5
1043964900,0
1043965000,5
1043965100,4
1043965200,4
1043965300,4
1043965401,0
1043965402,5
1043965500,4
1043965600,4
1043965700,4
1045020000,1
1045020100,4
1045020200,4
1045020300,4
1045020400,0
1045020500,6
1045020700,3
1045020801,4
1045020802,5
1045021101,0
1045021102,5
1045021200,4
1045021300,4
1045021400,5
1047956100,0
1047956201,4
1047956202,4
1047956300,5
1047956400,3
1047956500,3
1047956600,3
1047956701,0
1047956702,5
1047956800,5
1047956900,4
1047957000,5
1047957100,4
1047957200,5
1047957300,5
1049960100,5
1049960200,4
1049960300,5
1049960400,4
1049960500,0
1049960600,4
1049960700,5
1049960800,5
1049960900,5
1049961000,4
1049961100,5
1049961200,4
1049961300,5
1049961400,4
1051030100,0
1051030200,4
1051030300,4
1051030400,0
1051030500,0
1051030600,4
1051030701,1
1051030702,4
1051030800,0
1051030901,1
1051030902,4
1051031000,5
1051031100,0
1051031200,4
1051031300,0
1053969800,5
1053969900,4
1053970100,0
1053970200,5
1053970300,5
1053970400,4
1053970500,5
1053970600,5
1053970700,5
1055000200,5
1055000300,3
1055000400,4
1055000500,6
1055000600,5
1055000700,3
1055000800,3
1055000900,5
1055001000,3
1055001100,0
1055001200,3
1055001300,3
1055001600,5
1055001700,5
1055010100,4
1055010200,5
1055010300,4
1055010401,5
1055010402,0
1055010501,0
1055010502,4
1055010601,0
1055010602,4
1055010700,4
1055010800,4
1055010900,4
1055011001,4
1055011002,4
1055011100,5
1055011200,3
1057020000,4
1057020100,4
1057020200,5
1057020300,5
1057020400,5
1059972900,0
1059973000,5
1059973100,4
1059973200,5
1059973300,4
1059973400,5
1059973500,0
1059973600,4
1059973700,5
1061050100,5
1061050200,4
1061050300,5
1061050400,5
1061050500,0
1061050600,4
1063060000,4
1063060100,5
1063060200,5
1065040000,4
1065040100,4
1065040200,4
1065040300,4
1065040400,5
1065040500,4
1067030100,4
1067030200,5
1067030300,4
1067030400,4
1067030500,0
1067030600,4
1069040100,4
1069040201,0
1069040202,0
1069040301,5
1069040302,5
1069040400,6
1069040500,6
1069040600,3
1069040700,3
1069040800,5
1069040900,0
1069041000,3
1069041100,6
1069041200,3
1069041400,5
1069041500,5
1069041600,4
1069041700,0
1069041800,4
1069041900,0
1069042000,0
1069042100,4
1071950100,4
1071950200,5
1071950300,5
1071950400,4
1071950500,4
1071950600,5
1071950700,0
1071950800,5
1071950900,0
1071951000,0
1071951100,5
1073000100,5
1073000300,5
1073000400,5
1073000500,5
1073000700,5
1073000800,5
1073001100,4
1073001200,5
1073001400,5
1073001500,3
1073001600,3
1073001902,3
1073002000,3
1073002100,5
1073002200,3
1073002303,3
1073002305,0
1073002306,0
1073002400,5
1073002700,5
1073002900,3
1073003001,0
1073003002,3
1073003100,3
1073003200,3
1073003300,5
1073003400,5
1073003500,4
1073003600,0
1073003700,5
1073003802,5
1073003803,3
1073003900,3
1073004000,3
1073004200,3
1073004500,3
1073004701,6
1073004702,6
1073004800,6
1073004901,6
1073004902,3
1073005000,6
1073005101,3
1073005103,3
1073005104,3
1073005200,3
1073005302,0
1073005500,5
1073005600,6
1073005701,5
1073005702,5
1073005800,5
1073005903,0
1073005905,5
1073005907,0
1073005908,6
1073005909,4
1073005910,4
1073010001,6
1073010002,6
1073010100,5
1073010200,3
1073010301,5
1073010302,5
1073010401,5
1073010402,5
1073010500,4
1073010602,5
1073010603,6
1073010701,0
1073010702,6
1073010703,2
1073010704,0
1073010705,6
1073010706,5
1073010801,2
1073010802,2
1073010803,0
1073010804,2
1073010805,0
1073010900,5
1073011001,0
1073011002,5
1073011104,0
1073011107,0
1073011108,6
1073011109,0
1073011110,0
1073011111,0
1073011205,0
1073011206,4
1073011207,4
1073011208,0
1073011209,5
1073011210,4
1073011301,4
1073011302,4
1073011400,0
1073011500,4
1073011600,4
1073011703,0
1073011704,1
1073011705,0
1073011706,4
1073011802,5
1073011803,5
1073011804,5
1073011901,5
1073011904,4
1073012001,0
1073012002,0
1073012103,0
1073012104,0
1073012200,4
1073012302,4
1073012304,0
1073012305,0
1073012401,0
1073012402,5
1073012403,0
1073012500,4
1073012602,5
1073012701,4
1073012703,0
1073012704,1
1073012802,6
1073012803,2
1073012905,2
1073012906,2
1073012907,4
1073012908,6
1073012910,1
1073012911,2
1073012912,5
1073012913,5
1073012914,0
1073012915,6
1073013002,5
1073013100,5
1073013200,6
1073013300,5
1073013400,0
1073013601,4
1073013801,3
1073013901,0
1073013902,6
1073014001,4
1073014002,4
1073014102,4
1073014104,0
1073014105,6
1073014203,0
1073014204,0
1073014301,4
1073014302,4
1073014404,0
1073014405,0
1073014406,0
1073014408,6
1073014409,0
1073014410,2
1073014412,2
1073014413,2
1075030000,5
1075030100,5
1075030200,4
1077010100,5
1077010200,3
1077010300,3
1077010400,5
1077010600,5
1077010700,5
1077010800,3
1077010900,6
1077011000,3
1077011101,0
1077011102,0
1077011200,4
1077011300,4
1077011400,5
1077011501,0
1077011502,4
1077011602,4
1077011603,0
1077011604,4
1077011700,0
1077011801,4
1077011802,0
1079979100,4
1079979200,5
1079979300,4
1079979400,5
1079979500,4
1079979600,0
1079979700,4
1079979800,4
1079979900,4
1081040200,5
1081040300,5
1081040400,5
1081040500,0
1081040602,4
1081040603,4
1081040604,5
1081040700,0
1081040800,5
1081040901,0
1081040902,5
1081041000,4
1081041100,5
1081041200,0
1081041300,6
1081041400,3
1081041600,5
1081041700,4
1081041800,5
1081041900,4
1081042002,0
1081042003,4
1081042004,0
1081042005,4
1081042006,5
1081042101,4
1081042102,4
1083020101,4
1083020102,0
1083020201,4
1083020202,4
1083020300,4
1083020401,4
1083020402,4
1083020500,0
1083020600,5
1083020700,3
1083020801,0
1083020802,0
1083020900,0
1083021000,5
1083021100,0
1083021200,0
1085780800,5
1085781000,5
1085781100,4
1085781200,4
1087231400,4
1087231500,4
1087231601,4
1087231602,4
1087231603,4
1087231700,0
1087231800,5
1087231900,5
1087232000,3
1087232100,4
1087232200,4
1087232300,4
1089000201,4
1089000202,0
1089000301,5
1089000302,0
1089000403,4
1089000501,5
1089000502,5
1089000503,6
1089000601,6
1089000602,3
1089000701,3
1089000702,6
1089000901,4
1089000902,0
1089001000,6
1089001200,3
1089001301,3
1089001302,3
1089001401,0
1089001402,5
1089001500,6
1089001700,2
1089001801,1
1089001901,1
1089001902,1
1089001903,2
1089002000,2
1089002100,3
1089002200,3
1089002300,3
1089002400,5
1089002501,5
1089002502,5
1089002600,6
1089002701,6
1089002721,2
1089002722,2
1089002801,0
1089002802,0
1089002911,2
