,CensusTract,Color
0,1001020100,#38ad15
1,1001020200,#73c916
2,1001020300,#c49027
3,1001020400,#c49027
4,1001020500,#73c916
5,1001020600,#c49027
6,1001020700,#c49027
7,1001020801,#8dc427
8,1001020802,#c4c127
9,1001020900,#c4c127
10,1001021000,#c4c127
11,1001021100,#c4c127
12,1003010100,#c4c127
13,1003010200,#c4c127
14,1003010300,#c4c127
15,1003010400,#c4c127
16,1003010500,#38ad15
17,1003010600,#c49027
18,1003010701,#38ad15
19,1003010703,#c49027
20,1003010704,#8dc427
21,1003010705,#c49027
22,1003010800,#c49027
23,1003010903,#c49027
24,1003010904,#c4c127
25,1003010905,#c49027
26,1003010906,#c49027
27,1003011000,#c4c127
28,1003011101,#c49027
29,1003011102,#c4c127
30,1003011201,#73c916
31,1003011202,#c49027
32,1003011300,#8dc427
33,1003011401,#c4c127
34,1003011403,#c49027
35,1003011405,#8dc427
36,1003011406,#c49027
37,1003011407,#c49027
38,1003011408,#8dc427
39,1003011501,#c4c127
40,1003011502,#c49027
41,1003011601,#c4c127
42,1003011602,#c4c127
43,1005950100,#c4c127
44,1005950200,#c49027
45,1005950300,#c4c127
46,1005950400,#c4c127
47,1005950500,#c4c127
48,1005950600,#c49027
49,1005950700,#c44927
50,1005950800,#73c916
51,1005950900,#c44927
52,1007010001,#c4c127
53,1007010002,#c49027
54,1007010003,#c4c127
55,1007010004,#c49027
56,1009050101,#c49027
57,1009050102,#c49027
58,1009050200,#c49027
59,1009050300,#c49027
60,1009050400,#c4c127
61,1009050500,#c4c127
62,1009050601,#8dc427
63,1009050602,#c4c127
64,1009050700,#c4c127
65,1011952100,#c4c127
66,1011952200,#c49027
67,1011952500,#c4c127
68,1013952700,#c49027
69,1013952800,#73c916
70,1013952900,#c49027
71,1013953000,#c4c127
72,1013953100,#c49027
73,1013953200,#c49027
74,1013953300,#c4c127
75,1013953400,#c49027
76,1013953500,#c4c127
77,1015000200,#c44927
78,1015000300,#bd2f42
79,1015000400,#c49027
